module_path	category	lines	decl_total	decl_counts	has_noncomputable	has_simp_attr	has_sorry_admit_axiom
PillarB/AQFT/Derived/BoundaryMatrixLocality.lean	Boundary-matrix derived layer	112	6	"{""abbrev"": 1, ""theorem"": 5}"	True	False	False
PillarB/AQFT/Derived/BoundaryMatrixLocalNet.lean	Boundary-matrix derived layer	594	30	"{""abbrev"": 4, ""def"": 19, ""theorem"": 7}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixModular.lean	Boundary-matrix derived layer	240	11	"{""abbrev"": 1, ""def"": 5, ""structure"": 1, ""theorem"": 4}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixNontriviality.lean	Boundary-matrix derived layer	91	6	"{""def"": 1, ""theorem"": 5}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixObservableBasis.lean	Boundary-matrix derived layer	114	7	"{""def"": 4, ""theorem"": 3}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixPhases.lean	Boundary-matrix derived layer	94	3	"{""def"": 3}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixPhysicalGibbs.lean	Boundary-matrix derived layer	250	14	"{""abbrev"": 1, ""def"": 7, ""theorem"": 6}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixQuasiLocalClosure.lean	Boundary-matrix derived layer	225	12	"{""abbrev"": 6, ""def"": 6}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixRichNetNonAdditive.lean	Boundary-matrix derived layer	362	15	"{""def"": 4, ""theorem"": 11}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixSplitProperty.lean	Boundary-matrix derived layer	343	12	"{""abbrev"": 2, ""def"": 7, ""theorem"": 3}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixStateNet.lean	Boundary-matrix derived layer	187	11	"{""abbrev"": 4, ""def"": 3, ""theorem"": 4}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixTimeReversal.lean	Boundary-matrix derived layer	235	8	"{""def"": 2, ""theorem"": 6}"	True	True	False
PillarB/AQFT/Derived/BoundaryMatrixToCNontriviality.lean	Boundary-matrix derived layer	100	4	"{""theorem"": 4}"	True	False	False
PillarB/AQFT/Derived/EnergyFromBoundaryOp.lean		71	8	"{""def"": 6, ""structure"": 1, ""theorem"": 1}"	True	False	False
PillarB/AQFT/Derived/FiniteWeightState.lean		43	4	"{""def"": 4}"	True	True	False
PillarB/AQFT/Derived/GibbsStateOnConfig.lean		77	5	"{""def"": 3, ""theorem"": 2}"	True	False	False
PillarB/AQFT/Derived/LocalConfigNet.lean		151	8	"{""abbrev"": 2, ""def"": 5, ""theorem"": 1}"	False	False	False
PillarB/AQFT/Derived/MatterFromPillarA.lean		38	3	"{""def"": 2, ""theorem"": 1}"	True	False	False
PillarB/AQFT/Derived/QuasiLocalStateFromConfigNet.lean		68	6	"{""abbrev"": 2, ""def"": 4}"	False	False	False
PillarB/AQFT/Derived/StateFromConfigNet.lean		36	4	"{""def"": 4}"	False	False	False
PillarB/AQFT/Derived/TreeOfCliquesExtendedFromPillarA.lean	TreeOfCliques/FromA examples	432	33	"{""abbrev"": 11, ""def"": 12, ""structure"": 1, ""theorem"": 9}"	True	True	False
PillarB/AQFT/Derived/TreeOfCliquesFromPillarA.lean	TreeOfCliques/FromA examples	566	12	"{""abbrev"": 3, ""theorem"": 9}"	True	True	False
PillarB/AQFT/Gates/SplitProperty.lean		1	0	{}	False	False	False
PillarB/AQFT/HaagKastler/SplitProperty.lean		56	4	"{""def"": 2, ""structure"": 1, ""theorem"": 1}"	False	False	False
PillarB/AQFT/HaagKastler/Support.lean	Local nets and HK support	218	23	"{""def"": 5, ""structure"": 3, ""theorem"": 15}"	False	False	False
PillarB/AQFT/HaagKastler/SupportFull.lean	Local nets and HK support	37	6	"{""abbrev"": 1, ""def"": 2, ""structure"": 3}"	False	False	False
PillarB/AQFT/QuasiLocal/Carrier.lean	Quasi-local/GNS/KMS/Modular	99	9	"{""abbrev"": 2, ""def"": 3, ""theorem"": 4}"	False	False	False
PillarB/AQFT/QuasiLocal/Completion.lean	Quasi-local/GNS/KMS/Modular	40	1	"{""structure"": 1}"	False	False	False
PillarB/AQFT/QuasiLocal/StarAlgebra.lean	Quasi-local/GNS/KMS/Modular	210	9	"{""abbrev"": 2, ""def"": 6, ""theorem"": 1}"	False	True	False
PillarB/AQFT/QuasiLocal/StateLift.lean	Quasi-local/GNS/KMS/Modular	124	6	"{""def"": 4, ""theorem"": 2}"	False	True	False
PillarB/AQFT/QuasiLocal/Structure.lean	Quasi-local/GNS/KMS/Modular	87	7	"{""def"": 3, ""theorem"": 4}"	False	True	False
